data,valor,indicador
2016-08-11,3.1364,dolar
2016-08-12,3.1602,dolar
2016-08-15,3.1672,dolar
2016-08-16,3.1749,dolar
2016-08-17,3.2248,dolar
2016-08-18,3.2215,dolar
2016-08-19,3.2267,dolar
2016-08-22,3.2163,dolar
2016-08-23,3.2054,dolar
2016-08-24,3.2372,dolar
2016-08-25,3.2319,dolar
2016-08-26,3.2153,dolar
2016-08-29,3.2613,dolar
2016-08-30,3.2525,dolar
2016-08-31,3.2403,dolar
2016-09-01,3.2472,dolar
2016-09-02,3.2431,dolar
2016-09-05,3.2721,dolar
2016-09-06,3.2452,dolar
2016-09-08,3.1934,dolar
2016-09-09,3.2638,dolar
2016-09-12,3.2854,dolar
2016-09-13,3.2972,dolar
2016-09-14,3.3262,dolar
2016-09-15,3.3326,dolar
2016-09-16,3.3004,dolar
2016-09-19,3.2636,dolar
2016-09-20,3.254,dolar
2016-09-21,3.2408,dolar
2016-09-22,3.2015,dolar
2016-09-23,3.2242,dolar
2016-09-26,3.24,dolar
2016-09-27,3.2358,dolar
2016-09-28,3.2476,dolar
2016-09-29,3.2235,dolar
2016-09-30,3.2462,dolar
2016-10-03,3.2338,dolar
2016-10-04,3.2203,dolar
2016-10-05,3.2359,dolar
2016-10-06,3.231,dolar
2016-10-07,3.2134,dolar
2016-10-10,3.2125,dolar
2016-10-11,3.2136,dolar
2016-10-13,3.2087,dolar
2016-10-14,3.1864,dolar
2016-10-17,3.1963,dolar
2016-10-18,3.1874,dolar
2016-10-19,3.18,dolar
2016-10-20,3.1605,dolar
2016-10-21,3.1593,dolar
2016-10-24,3.1311,dolar
2016-10-25,3.1193,dolar
2016-10-26,3.1219,dolar
2016-10-27,3.1429,dolar
2016-10-28,3.1815,dolar
2016-10-31,3.1811,dolar
2016-11-01,3.2053,dolar
2016-11-03,3.231,dolar
2016-11-04,3.2449,dolar
2016-11-07,3.2024,dolar
2016-11-08,3.2024,dolar
2016-11-09,3.2258,dolar
2016-11-10,3.3104,dolar
2016-11-11,3.4377,dolar
2016-11-14,3.4446,dolar
2016-11-16,3.4183,dolar
2016-11-17,3.4052,dolar
2016-11-18,3.3917,dolar
2016-11-21,3.3517,dolar
2016-11-22,3.3476,dolar
2016-11-23,3.3927,dolar
2016-11-24,3.3987,dolar
2016-11-25,3.4279,dolar
2016-11-28,3.3996,dolar
2016-11-29,3.406,dolar
2016-11-30,3.3967,dolar
2016-12-01,3.4362,dolar
2016-12-02,3.465,dolar
2016-12-05,3.4598,dolar
2016-12-06,3.4354,dolar
2016-12-07,3.3895,dolar
2016-12-08,3.4008,dolar
2016-12-09,3.3858,dolar
2016-12-12,3.3697,dolar
2016-12-13,3.334,dolar
2016-12-14,3.3103,dolar
2016-12-15,3.383,dolar
2016-12-16,3.3712,dolar
2016-12-19,3.3778,dolar
2016-12-20,3.3586,dolar
2016-12-21,3.3297,dolar
2016-12-22,3.3302,dolar
2016-12-23,3.2696,dolar
2016-12-26,3.2701,dolar
2016-12-27,3.2776,dolar
2016-12-28,3.2774,dolar
2016-12-29,3.2591,dolar
2016-12-30,3.2591,dolar
2017-01-02,3.2729,dolar
2017-01-03,3.2632,dolar
2017-01-04,3.2333,dolar
2017-01-05,3.2129,dolar
2017-01-06,3.2057,dolar
2017-01-09,3.2097,dolar
2017-01-10,3.1918,dolar
2017-01-11,3.2154,dolar
2017-01-12,3.1661,dolar
2017-01-13,3.2034,dolar
2017-01-16,3.2234,dolar
2017-01-17,3.21,dolar
2017-01-18,3.2211,dolar
2017-01-19,3.2113,dolar
2017-01-20,3.1918,dolar
2017-01-23,3.1609,dolar
2017-01-24,3.1649,dolar
2017-01-25,3.169,dolar
2017-01-26,3.1804,dolar
2017-01-27,3.1596,dolar
2017-01-30,3.1316,dolar
2017-01-31,3.127,dolar
2017-02-01,3.1479,dolar
2017-02-02,3.1196,dolar
2017-02-03,3.1241,dolar
2017-02-06,3.1179,dolar
2017-02-07,3.1304,dolar
2017-02-08,3.1255,dolar
2017-02-09,3.1185,dolar
2017-02-10,3.1155,dolar
2017-02-13,3.1175,dolar
2017-02-14,3.1004,dolar
2017-02-15,3.0779,dolar
2017-02-16,3.051,dolar
2017-02-17,3.095,dolar
2017-02-20,3.0918,dolar
2017-02-21,3.097,dolar
2017-02-22,3.0824,dolar
2017-02-23,3.0638,dolar
2017-02-24,3.0993,dolar
2017-03-01,3.0976,dolar
2017-03-02,3.1138,dolar
2017-03-03,3.1364,dolar
2017-03-06,3.1111,dolar
2017-03-07,3.1185,dolar
2017-03-08,3.1477,dolar
2017-03-09,3.1735,dolar
2017-03-10,3.1623,dolar
2017-03-13,3.1541,dolar
2017-03-14,3.1639,dolar
2017-03-15,3.1629,dolar
2017-03-16,3.108,dolar
2017-03-17,3.1075,dolar
2017-03-20,3.0898,dolar
2017-03-21,3.0765,dolar
2017-03-22,3.0939,dolar
2017-03-23,3.1248,dolar
2017-03-24,3.1282,dolar
2017-03-27,3.1256,dolar
2017-03-28,3.1303,dolar
2017-03-29,3.1229,dolar
2017-03-30,3.1247,dolar
2017-03-31,3.1684,dolar
2017-04-03,3.1167,dolar
2017-04-04,3.1231,dolar
2017-04-05,3.0923,dolar
2017-04-06,3.116,dolar
2017-04-07,3.1302,dolar
2017-04-10,3.1409,dolar
2017-04-11,3.1424,dolar
2017-04-12,3.1463,dolar
2017-04-13,3.1269,dolar
2017-04-17,3.1036,dolar
2017-04-18,3.0958,dolar
2017-04-19,3.1294,dolar
2017-04-20,3.1453,dolar
2017-04-24,3.1251,dolar
2017-04-25,3.1577,dolar
2017-04-26,3.1847,dolar
2017-04-27,3.1763,dolar
2017-04-28,3.1984,dolar
2017-05-02,3.1724,dolar
2017-05-03,3.1489,dolar
2017-05-04,3.178,dolar
2017-05-05,3.1764,dolar
2017-05-08,3.1938,dolar
2017-05-09,3.1857,dolar
2017-05-10,3.1606,dolar
2017-05-11,3.1559,dolar
2017-05-12,3.129,dolar
2017-05-15,3.1011,dolar
2017-05-16,3.0924,dolar
2017-05-17,3.1076,dolar
2017-05-18,3.3807,dolar
2017-05-19,3.2878,dolar
2017-05-22,3.2863,dolar
2017-05-23,3.2654,dolar
2017-05-24,3.2629,dolar
2017-05-25,3.2824,dolar
2017-05-26,3.2614,dolar
2017-05-29,3.2709,dolar
2017-05-30,3.2659,dolar
2017-05-31,3.2437,dolar
2017-06-01,3.2307,dolar
2017-06-02,3.2401,dolar
2017-06-05,3.282,dolar
2017-06-06,3.2817,dolar
2017-06-07,3.2747,dolar
2017-06-08,3.2838,dolar
2017-06-09,3.274,dolar
2017-06-12,3.2986,dolar
2017-06-13,3.3208,dolar
2017-06-14,3.2836,dolar
2017-06-16,3.2892,dolar
2017-06-19,3.2975,dolar
2017-06-20,3.3145,dolar
2017-06-21,3.3247,dolar
2017-06-22,3.3362,dolar
2017-06-23,3.3342,dolar
2017-06-26,3.3128,dolar
2017-06-27,3.3172,dolar
2017-06-28,3.303,dolar
2017-06-29,3.2952,dolar
2017-06-30,3.3082,dolar
2017-07-03,3.3015,dolar
2017-07-04,3.305,dolar
2017-07-05,3.3193,dolar
2017-07-06,3.3064,dolar
2017-07-07,3.2895,dolar
2017-07-10,3.265,dolar
2017-07-11,3.2522,dolar
2017-07-12,3.2264,dolar
2017-07-13,3.2108,dolar
2017-07-14,3.1899,dolar
2017-07-17,3.1821,dolar
2017-07-18,3.1668,dolar
2017-07-19,3.1533,dolar
2017-07-20,3.1402,dolar
2017-07-21,3.1256,dolar
2017-07-24,3.1459,dolar
2017-07-25,3.1556,dolar
2017-07-26,3.1657,dolar
2017-07-27,3.1513,dolar
2017-07-28,3.1457,dolar
2017-07-31,3.1307,dolar
2017-08-01,3.1161,dolar
2017-08-02,3.1268,dolar
2017-08-03,3.1194,dolar
2017-08-04,3.1224,dolar
2017-08-07,3.1267,dolar
2017-08-08,3.132,dolar
2017-08-09,3.1464,dolar
2017-08-10,3.1543,dolar
2017-08-11,3.1695,dolar
2017-08-14,3.1888,dolar
2017-08-15,3.1976,dolar
2017-08-16,3.167,dolar
2017-08-17,3.1603,dolar
2017-08-18,3.1654,dolar
2017-08-21,3.1443,dolar
2017-08-22,3.1539,dolar
2017-08-23,3.1569,dolar
2017-08-24,3.1404,dolar
2017-08-25,3.1462,dolar
2017-08-28,3.1563,dolar
2017-08-29,3.1695,dolar
2017-08-30,3.1638,dolar
2017-08-31,3.1471,dolar
2017-09-01,3.1333,dolar
2017-09-04,3.1389,dolar
2017-09-05,3.1203,dolar
2017-09-06,3.1133,dolar
2017-09-08,3.0908,dolar
2017-09-11,3.0852,dolar
2017-09-12,3.1144,dolar
2017-09-13,3.1343,dolar
2017-09-14,3.1354,dolar
2017-09-15,3.1255,dolar
2017-09-18,3.1239,dolar
2017-09-19,3.1323,dolar
2017-09-20,3.1281,dolar
2017-09-21,3.1347,dolar
2017-09-22,3.1285,dolar
2017-09-25,3.1412,dolar
2017-09-26,3.1674,dolar
2017-09-27,3.1932,dolar
2017-09-28,3.1871,dolar
2017-09-29,3.168,dolar
2017-10-02,3.1642,dolar
2017-10-03,3.1502,dolar
2017-10-04,3.1315,dolar
2017-10-05,3.1347,dolar
2017-10-06,3.1648,dolar
2017-10-09,3.177,dolar
2017-10-10,3.1688,dolar
2017-10-11,3.1639,dolar
2017-10-13,3.1572,dolar
2017-10-16,3.1607,dolar
2017-10-17,3.1769,dolar
2017-10-18,3.1673,dolar
2017-10-19,3.1732,dolar
2017-10-20,3.1833,dolar
2017-10-23,3.2003,dolar
2017-10-24,3.247,dolar
2017-10-25,3.2387,dolar
2017-10-26,3.2444,dolar
2017-10-27,3.2801,dolar
2017-10-30,3.2547,dolar
2017-10-31,3.2769,dolar
2017-11-01,3.2736,dolar
2017-11-03,3.292,dolar
2017-11-06,3.2851,dolar
2017-11-07,3.2733,dolar
2017-11-08,3.2509,dolar
2017-11-09,3.2515,dolar
2017-11-10,3.2661,dolar
2017-11-13,3.2873,dolar
